id,scenario_type,typical_phrases_keywords,response_template,internal_note,escalate_if
1,жалоба_доставка,"задержк|не привезли|курьер|сломалась коробка","Спасибо, что сообщили. Нам очень жаль, что доставка прошла не так, как вы ожидали. Мы передадим информацию в службу логистики для проверки. Пожалуйста, сохраните данные заказа — по ним мы сможем уточнить статус.","Тег: логистика. Проверить трек и ответ курьерской службы.",угрозы или травма
2,жалоба_качество,"брак|не работает|развалилось|плохое качество","Благодарим за обратную связь. Качество для нас в приоритете. Просим описать проблему подробнее (когда обнаружили, как использовали). После проверки мы предложим варианты решения в соответствии с правилами сервиса.","Тег: QA/возврат. Не обещать замену до проверки.",претензия к здоровью
3,жалоба_сервис,"груб|хамств|не отвечают|игнор","Спасибо, что поделились опытом. Такое отношение недопустимо. Мы разберёмся в ситуации с руководителем смены и при необходимости свяжемся с вами.","Тег: персонал. Внутренний инцидент.",персональные данные сотрудников
4,жалоба_цена,"дорого|обманули с ценой|скрытые платежи","Понимаем ваши чувства относительно стоимости. Уточним детали заказа и условия, отображённые при оформлении. Если есть расхождение — разберёмся и ответим.","Тег: биллинг/маркетинг.",юридические формулировки
5,благодарность_общая,"спасибо|довольн|рекомендую|супер","Огромное спасибо за ваши слова! Нам приятно знать, что вы остались довольны. Передадим благодарность команде.","Тег: позитив. Можно запросить разрешение на цитату (в реальной работе).",нет
6,благодарность_сотрудник,"менеджер|консультант|помогли найти","Спасибо за отзыв! Мы обязательно передадим личную благодарность сотруднику — такая обратная связь мотивирует всю команду.","Тег: персонал+. Уточнить имя/точку только если политика позволяет.",нет
7,предложение_продукт,"добавьте|не хватает|сделайте фичу","Спасибо за идею — она очень ценна для развития продукта. Мы зафиксируем предложение и передадим его команде развития.","Тег: product backlog (учебно).",нет
8,предложение_сервис,"удобнее было бы|почему нельзя","Благодарим за конструктивное предложение по сервису. Такие идеи помогают нам улучшать процессы. Направим коллегам для рассмотрения.","Тег: CX/процессы.",нет
9,нейтраль_вопрос,"как вернуть|где статус|как связаться","Спасибо за вопрос. Кратко: [вставить шаги из FAQ]. Если что-то не сработало — напишите номер обращения, мы уточним.","Тег: FAQ. Подставить актуальные ссылки из базы (в проде).",нет
10,жалоба_смешанная,"и хорошо и плохо|но в целом","Спасибо за честный отзыв. Рады что [позитив]. По поводу [негатив] — разберёмся и постараемся улучшить ситуацию. Свяжемся при необходимости.","Тег: смешанный. Разделить на два трека.",нет
